"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
62,"ACNB","ACNB Corporation","Financial","Banks - Regional","USA",189.61,10.24,22.00,0.59%,2033
63,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",26.81,,0.51,-8.94%,1096196
64,"ACP","Aberdeen Income Credit Strategies Fund","Financial","Closed-End Fund - Debt","USA",181.47,,10.35,-0.58%,76550
65,"ACRE","Ares Commercial Real Estate Corporation","Real Estate","REIT - Mortgage","USA",341.84,24.97,9.66,-2.82%,90490
66,"ACRS","Aclaris Therapeutics, Inc.","Healthcare","Biotechnology","USA",112.16,,2.38,-3.64%,65009
67,"ACRX","AcelRx Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",119.77,,1.29,1.57%,232750
68,"ACSG","Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF","Financial","Exchange Traded Fund","USA",,,28.02,0.26%,403
69,"ACSI","American Customer Satisfaction ETF","Financial","Exchange Traded Fund","USA",,,37.92,-0.12%,104
70,"ACST","Acasti Pharma Inc.","Healthcare","Biotechnology","Canada",66.86,,0.66,-3.88%,965236
71,"ACT","AdvisorShares Vice ETF","Financial","Exchange Traded Fund","USA",,,25.86,-0.08%,20
72,"ACTG","Acacia Research Corporation","Industrials","Specialty Business Services","USA",199.60,,3.99,0.25%,42746
73,"ACU","Acme United Corporation","Consumer Defensive","Household & Personal Products","USA",76.48,12.57,23.22,-1.02%,323
74,"ACV","AllianzGI Diversified Income & Convertible Fund","Financial","Asset Management","USA",276.31,,26.70,0.00%,12844
75,"ACWF","iShares Edge MSCI Multifactor Global ETF","Financial","Exchange Traded Fund","USA",,,30.28,-0.02%,3145
76,"ACWI","iShares MSCI ACWI ETF","Financial","Exchange Traded Fund","USA",,,81.44,-0.05%,510338
77,"ACWV","iShares Edge MSCI Min Vol Global ETF","Financial","Exchange Traded Fund","USA",,,92.73,-0.06%,40951
78,"ACWX","iShares MSCI ACWI ex U.S. ETF","Financial","Exchange Traded Fund","USA",,,47.01,-0.09%,367327
79,"ACY","AeroCentury Corp.","Industrials","Rental & Leasing Services","USA",4.34,,2.71,1.04%,3815
80,"ADAP","Adaptimmune Therapeutics plc","Healthcare","Biotechnology","United Kingdom",1341.38,,8.37,0.48%,80880
81,"ADBE","Adobe Inc.","Technology","Software - Infrastructure","USA",231005.49,62.75,480.83,0.95%,566504
82,"ADC","Agree Realty Corporation","Real Estate","REIT - Retail","USA",3602.33,34.53,67.40,0.42%,67319
83,"ADCT","ADC Therapeutics SA","Healthcare","Biotechnology","Switzerland",3119.28,,45.89,4.04%,25336
84,"ADES","Advanced Emissions Solutions, Inc.","Industrials","Pollution & Treatment Controls","USA",77.19,,4.07,-0.97%,19557
85,"ADI","Analog Devices, Inc.","Technology","Semiconductors","USA",43811.20,39.23,117.53,0.26%,735110
86,"ADIL","Adial Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",20.08,,1.37,-4.55%,131591
87,"ADM","Archer-Daniels-Midland Company","Consumer Defensive","Farm Products","USA",24641.75,13.83,44.17,-0.63%,548888
88,"ADMA","ADMA Biologics, Inc.","Healthcare","Biotechnology","USA",261.60,,2.70,-5.75%,7737576
89,"ADME","Aptus Drawdown Managed Equity ETF","Financial","Exchange Traded Fund","USA",,,34.46,0.31%,2974
90,"ADMP","Adamis Pharmaceuticals Corporation","Healthcare","Drug Manufacturers - Specialty & Generic","USA",53.99,,0.76,4.54%,3170701
91,"ADMS","Adamas Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",136.77,,4.60,2.68%,146172
92,"ADNT","Adient plc","Consumer Cyclical","Auto Parts","Ireland",1675.07,,17.43,-1.64%,189397
93,"ADP","Automatic Data Processing, Inc.","Industrials","Staffing & Employment Services","USA",60947.98,24.75,140.86,0.14%,418135
94,"ADPT","Adaptive Biotechnologies Corporation","Healthcare","Biotechnology","USA",5665.92,,41.16,-1.06%,236840
95,"ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund","Financial","Exchange Traded Fund","USA",,,47.53,1.92%,2324
96,"ADRO","Aduro Biotech, Inc.","Healthcare","Biotechnology","USA",245.13,,2.99,0.34%,100515
97,"ADS","Alliance Data Systems Corporation","Financial","Credit Services","USA",2191.51,7.59,45.17,-0.92%,286973
98,"ADSK","Autodesk, Inc.","Technology","Software - Application","USA",55388.45,178.08,251.90,0.04%,485379
99,"ADSW","Advanced Disposal Services, Inc.","Industrials","Waste Management","USA",2723.75,15065.00,30.05,-0.27%,71236
100,"ADT","ADT Inc.","Industrials","Security & Protection Services","USA",8851.54,,11.19,-1.54%,513498
101,"ADTN","ADTRAN, Inc.","Technology","Communication Equipment","USA",566.56,,11.68,0.99%,60702
102,"ADTX","ADiTx Therapeutics, Inc.","Healthcare","Biotechnology","USA",26.20,,3.55,-3.79%,72793
103,"ADUS","Addus HomeCare Corporation","Healthcare","Medical Care Facilities","USA",1455.41,46.42,92.72,0.47%,35254
104,"ADVM","Adverum Biotechnologies, Inc.","Healthcare","Biotechnology","USA",1205.75,,12.61,0.88%,192589
105,"ADX","Adams Diversified Equity Fund, Inc.","Financial","Closed-End Fund - Equity","USA",1787.84,14.11,16.48,0.20%,93900
106,"ADXN","Addex Therapeutics Ltd","Healthcare","Biotechnology","Switzerland",,,14.70,4.96%,421
107,"ADXS","Advaxis, Inc.","Healthcare","Biotechnology","USA",28.73,,0.46,1.82%,168391
108,"AE","Adams Resources & Energy, Inc.","Energy","Oil & Gas Integrated","USA",92.58,,22.40,1.86%,1495
109,"AEE","Ameren Corporation","Utilities","Utilities - Regulated Electric","USA",20012.69,23.76,80.00,-1.54%,328067
110,"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","Financial","Asset Management","United Kingdom",347.65,4.43,6.81,-0.58%,17171
111,"AEG","Aegon N.V.","Financial","Insurance - Diversified","Netherlands",5978.90,4.57,2.74,0.18%,1696227
112,"AEGN","Aegion Corporation","Industrials","Engineering & Construction","USA",509.05,,16.23,-0.43%,7300
113,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",42.38,228.75,1.88,2.46%,6836
114,"AEIS","Advanced Energy Industries, Inc.","Industrials","Electrical Equipment & Parts","USA",2942.93,44.63,74.48,-1.73%,45125
115,"AEL","American Equity Investment Life Holding Company","Financial","Insurance - Life","USA",2306.06,9.43,24.45,-0.77%,43169
116,"AEM","Agnico Eagle Mines Limited","Basic Materials","Gold","Canada",19403.85,38.43,77.68,-1.25%,248224
117,"AEMD","Aethlon Medical, Inc.","Healthcare","Medical Devices","USA",18.69,,1.48,0.02%,59356
118,"AEO","American Eagle Outfitters, Inc.","Consumer Cyclical","Apparel Retail","USA",1926.10,,11.19,0.27%,2226814
119,"AEP","American Electric Power Company, Inc.","Utilities","Utilities - Regulated Electric","USA",40247.02,21.04,79.59,-1.47%,440785
120,"AER","AerCap Holdings N.V.","Industrials","Airports & Air Services","Ireland",4103.79,3.66,30.50,-0.88%,453351
121,"AERI","Aerie Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",549.13,,10.91,-1.18%,146641
122,"AES","The AES Corporation","Utilities","Utilities - Diversified","USA",11972.28,63.63,17.74,-1.85%,1127172
123,"AESE","Allied Esports Entertainment Inc.","Communication Services","Entertainment","USA",46.93,,1.58,2.94%,360587
124,"AESR","Anfield U.S. Equity Sector Rotation ETF","Financial","Exchange Traded Fund","USA",,,11.05,-0.29%,29176
125,"AEY","ADDvantage Technologies Group, Inc.","Technology","Electronics & Computer Distribution","USA",28.72,,2.40,-3.35%,112518
126,"AEYE","AudioEye, Inc.","Technology","Software - Application","USA",154.95,,19.24,-0.41%,51736
127,"AEZS","Aeterna Zentaris Inc.","Healthcare","Biotechnology","USA",29.14,,0.46,-0.19%,577881
128,"AFB","AllianceBernstein National Municipal Income Fund","Financial","Closed-End Fund - Debt","USA",390.64,,13.56,-0.18%,12807
129,"AFG","American Financial Group, Inc.","Financial","Insurance - Property & Casualty","USA",6040.17,26.30,67.00,-0.53%,103852
130,"AFH","Atlas Financial Holdings, Inc.","Financial","Insurance - Property & Casualty","USA",5.24,,0.39,-3.07%,72070
131,"AFI","Armstrong Flooring, Inc.","Industrials","Building Products & Equipment","USA",85.54,,3.94,-2.83%,53322
132,"AFIB","Acutus Medical, Inc.","Healthcare","Medical Devices","USA",738.38,,28.42,3.35%,68558
133,"AFIF","Anfield Universal Fixed Income ETF","Financial","Exchange Traded Fund","USA",,,9.80,-0.20%,3803
134,"AFIN","American Finance Trust, Inc.","Real Estate","REIT - Diversified","USA",783.23,,7.03,-0.85%,128235
135,"AFK","VanEck Vectors Africa Index ETF","Financial","Exchange Traded Fund","USA",,,17.72,-0.11%,3377
136,"AFL","Aflac Incorporated","Financial","Insurance - Life","USA",26824.26,9.35,37.02,-0.96%,835771
137,"AFLG","First Trust Active Factor Large Cap ETF","Financial","Exchange Traded Fund","USA",,,20.74,0.00%,0
138,"AFMD","Affimed N.V.","Healthcare","Biotechnology","Germany",347.48,,3.62,-0.88%,195959
139,"AFT","Apollo Senior Floating Rate Fund Inc.","Financial","Asset Management","USA",198.87,7.09,12.76,-0.08%,14035
140,"AFTY","Pacer CSOP FTSE China A50 ETF","Financial","Exchange Traded Fund","USA",,,19.34,0.83%,2161
141,"AFYA","Afya Limited","Consumer Defensive","Education & Training Services","Brazil",2262.51,35.97,24.08,-0.08%,26333
142,"AG","First Majestic Silver Corp.","Basic Materials","Silver","Canada",2435.90,,10.98,-3.39%,2104541
143,"AGCO","AGCO Corporation","Industrials","Farm & Heavy Construction Machinery","USA",5321.61,170.73,71.38,-0.93%,61594
144,"AGD","Aberdeen Global Dynamic Dividend Fund","Financial","Closed-End Fund - Foreign","USA",118.72,,9.51,0.53%,15831
145,"AGE","AgeX Therapeutics, Inc.","Healthcare","Biotechnology","USA",35.71,,0.88,-5.84%,78746
146,"AGEN","Agenus Inc.","Healthcare","Biotechnology","USA",760.69,,4.13,4.43%,711485
147,"AGFS","AgroFresh Solutions, Inc.","Consumer Defensive","Farm Products","USA",132.80,,2.43,-2.80%,96498
148,"AGG","iShares Core U.S. Aggregate Bond ETF","Financial","Exchange Traded Fund","USA",,,118.24,-0.33%,1226841
149,"AGGP","IQ Enhanced Core Plus Bond U.S. ETF","Financial","Exchange Traded Fund","USA",,,19.85,-0.37%,1024
150,"AGGY","WisdomTree Yield Enhanced U.S. Aggregate Bond Fund","Financial","Exchange Traded Fund","USA",,,53.90,-0.61%,58352
151,"AGI","Alamos Gold Inc.","Basic Materials","Gold","Canada",3960.46,71.29,9.60,-3.18%,1047946
152,"AGIO","Agios Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",2656.70,,38.22,0.16%,558500
153,"AGLE","Aeglea BioTherapeutics, Inc.","Healthcare","Biotechnology","USA",317.22,,6.90,0.15%,116121
154,"AGM","Federal Agricultural Mortgage Corporation","Financial","Credit Services","USA",722.86,8.69,67.88,-0.37%,15086
155,"AGMH","AGM Group Holdings Inc.","Technology","Software - Application","Hong Kong",322.44,,14.54,-0.75%,1391
156,"AGNC","AGNC Investment Corp.","Real Estate","REIT - Mortgage","USA",7876.55,,14.03,-1.51%,2200775
157,"AGO","Assured Guaranty Ltd.","Financial","Insurance - Specialty","Bermuda",1954.54,6.19,21.99,-2.31%,112444
158,"AGQ","ProShares Ultra Silver","Financial","Exchange Traded Fund","USA",,,55.60,-0.89%,795318
159,"AGR","Avangrid, Inc.","Utilities","Utilities - Regulated Electric","USA",15297.84,22.03,49.54,-0.72%,84189
160,"AGRO","Adecoagro S.A.","Consumer Defensive","Farm Products","Luxembourg",578.60,,4.99,-0.20%,56179
161,"AGRX","Agile Therapeutics, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",258.46,,3.13,6.83%,895579
162,"AGS","PlayAGS, Inc.","Consumer Cyclical","Gambling","USA",146.05,,3.83,-1.03%,91917
163,"AGT","iShares MSCI Argentina and Global Exposure ETF","Financial","Exchange Traded Fund","USA",,,22.07,0.04%,2284
164,"AGTC","Applied Genetic Technologies Corporation","Healthcare","Biotechnology","USA",132.25,,5.16,0.19%,18624
165,"AGX","Argan, Inc.","Industrials","Engineering & Construction","USA",679.60,,42.16,-1.61%,6966
166,"AGYS","Agilysys, Inc.","Technology","Software - Application","USA",607.02,,25.08,-0.61%,38759
167,"AGZ","iShares Agency Bond ETF","Financial","Exchange Traded Fund","USA",,,121.24,-0.11%,17588
168,"AGZD","WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund","Financial","Exchange Traded Fund","USA",,,47.02,-0.19%,156
169,"AHC","A.H. Belo Corporation","Communication Services","Publishing","USA",32.10,,1.48,-1.53%,9798
170,"AHCO","AdaptHealth Corp.","Healthcare","Medical Devices","USA",1863.21,,21.40,-0.97%,74257
171,"AHH","Armada Hoffler Properties, Inc.","Real Estate","REIT - Diversified","USA",822.02,21.47,10.18,-0.20%,85203
172,"AHPI","Allied Healthcare Products, Inc.","Healthcare","Medical Devices","USA",28.92,,7.02,-1.68%,54777
173,"AHT","Ashford Hospitality Trust, Inc.","Real Estate","REIT - Hotel & Motel","USA",36.16,,2.98,-4.33%,275578
174,"AI","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",107.65,,2.79,-0.89%,50570
175,"AIA","iShares Asia 50 ETF","Financial","Exchange Traded Fund","USA",,,72.93,0.27%,20667
176,"AIEQ","AI Powered Equity ETF","Financial","Exchange Traded Fund","USA",,,31.01,0.04%,3688
177,"AIF","Apollo Tactical Income Fund Inc.","Financial","Asset Management","USA",183.69,6.28,12.66,-0.31%,15045
178,"AIG","American International Group, Inc.","Financial","Insurance - Diversified","USA",26229.76,,29.49,-0.22%,1339237
179,"AIH","Aesthetic Medical International Holdings Group Limited","Healthcare","Medical Care Facilities","China",115.49,,4.91,0.20%,40680
180,"AIHS","Senmiao Technology Limited","Financial","Credit Services","China",17.11,,0.41,-1.43%,850123
181,"AIIQ","AI Powered International Equity ETF","Financial","Exchange Traded Fund","USA",,,27.98,0.20%,311
182,"AIKI","AIkido Pharma Inc.","Healthcare","Biotechnology","USA",24.33,,0.68,0.68%,512074
183,"AIM","AIM ImmunoTech Inc.","Healthcare","Biotechnology","USA",82.07,,2.10,-0.94%,722787
184,"AIMC","Altra Industrial Motion Corp.","Industrials","Specialty Industrial Machinery","USA",2514.29,,39.23,0.44%,80443
185,"AIMT","Aimmune Therapeutics, Inc.","Healthcare","Biotechnology","USA",844.15,,12.75,2.16%,254210
186,"AIN","Albany International Corp.","Consumer Cyclical","Textile Manufacturing","USA",1659.27,14.86,50.37,-0.90%,18736
187,"AINC","Ashford Inc.","Financial","Asset Management","USA",16.35,,6.10,1.50%,2014
188,"AINV","Apollo Investment Corporation","Financial","Asset Management","USA",643.43,,9.22,-1.95%,112967
189,"AIO","AllianzGI Artificial Intelligence Opportunities Fund","Financial","Closed-End Fund - Equity","USA",736.57,,21.52,0.28%,28486
190,"AIQ","Global X Artificial Intelligence & Technology ETF","Financial","Exchange Traded Fund","USA",,,23.28,0.78%,6757
191,"AIR","AAR Corp.","Industrials","Aerospace & Defense","USA",714.40,28.24,19.83,-0.10%,65630
192,"AIRG","Airgain, Inc.","Technology","Communication Equipment","USA",133.71,,13.44,-0.59%,33731
193,"AIRI","Air Industries Group","Industrials","Aerospace & Defense","USA",38.56,,1.22,0.82%,6394
194,"AIRR","First Trust RBA American Industrial RenaissanceTM ETF","Financial","Exchange Traded Fund","USA",,,26.70,-0.81%,711
195,"AIRT","Air T, Inc.","Industrials","Integrated Freight & Logistics","USA",30.71,,11.36,0.98%,1
196,"AIT","Applied Industrial Technologies, Inc.","Industrials","Industrial Distribution","USA",2388.46,109.57,59.68,-1.50%,23621
197,"AIV","Apartment Investment and Management Company","Real Estate","REIT - Residential","USA",5397.64,29.38,35.67,-0.39%,120090
198,"AIZ","Assurant, Inc.","Financial","Insurance - Specialty","USA",7462.85,25.38,122.89,-0.64%,39260
199,"AJG","Arthur J. Gallagher & Co.","Financial","Insurance Brokers","USA",20475.30,28.45,104.76,0.71%,244072
200,"AJRD","Aerojet Rocketdyne Holdings, Inc.","Industrials","Aerospace & Defense","USA",3359.83,27.60,42.33,-0.14%,80028
201,"AJX","Great Ajax Corp.","Real Estate","REIT - Mortgage","USA",218.54,12.85,9.83,-0.91%,17395
202,"AKAM","Akamai Technologies, Inc.","Technology","Software - Infrastructure","USA",17990.88,33.60,110.84,-0.03%,557892
203,"AKBA","Akebia Therapeutics, Inc.","Healthcare","Biotechnology","USA",1495.66,,9.84,1.60%,339339
204,"AKCA","Akcea Therapeutics, Inc.","Healthcare","Biotechnology","USA",1136.63,,12.04,1.78%,101265
205,"AKER","Akers Biosciences, Inc.","Healthcare","Medical Instruments & Supplies","USA",43.06,,3.92,-10.50%,731780
206,"AKO-A","Embotelladora Andina S.A.","Consumer Defensive","Beverages - Non-Alcoholic","Chile",1964.14,13.05,12.21,-1.93%,311
207,"AKO-B","Embotelladora Andina S.A.","Consumer Defensive","Beverages - Non-Alcoholic","Chile",1994.89,9.50,13.78,2.61%,5438
208,"AKR","Acadia Realty Trust","Real Estate","REIT - Retail","USA",1067.66,24.60,11.98,-0.42%,79961
209,"AKRO","Akero Therapeutics, Inc.","Healthcare","Biotechnology","USA",1178.48,,34.27,0.62%,16230
210,"AKTS","Akoustis Technologies, Inc.","Technology","Communication Equipment","USA",299.98,,8.32,-1.07%,164012
211,"AKTX","Akari Therapeutics, Plc","Healthcare","Biotechnology","United Kingdom",58.40,,1.71,2.16%,87950
212,"AKUS","Akouos, Inc.","Healthcare","Biotechnology","USA",740.89,,22.37,-0.09%,21171
213,"AL","Air Lease Corporation","Industrials","Rental & Leasing Services","USA",3603.74,5.96,30.59,-1.20%,129762
214,"ALAC","Alberton Acquisition Corporation","Financial","Shell Companies","Hong Kong",49.90,600.00,10.66,-1.30%,5
215,"ALB","Albemarle Corporation","Basic Materials","Specialty Chemicals","USA",9925.56,22.33,91.07,-0.99%,147989
216,"ALBO","Albireo Pharma, Inc.","Healthcare","Biotechnology","USA",405.47,,28.35,1.03%,25259
217,"ALC","Alcon Inc.","Healthcare","Medical Instruments & Supplies","Switzerland",28773.75,,59.02,0.32%,508820
218,"ALCO","Alico, Inc.","Consumer Defensive","Farm Products","USA",242.80,10.54,32.48,0.46%,107
219,"ALDX","Aldeyra Therapeutics, Inc.","Healthcare","Biotechnology","USA",261.17,,6.90,0.00%,236076
220,"ALE","ALLETE, Inc.","Utilities","Utilities - Diversified","USA",2873.12,17.03,54.26,-1.40%,41169
221,"ALEC","Alector, Inc.","Healthcare","Biotechnology","USA",1068.87,,12.87,0.47%,139931
222,"ALEX","Alexander & Baldwin, Inc.","Real Estate","REIT - Diversified","USA",923.35,,12.50,-1.10%,44500
223,"ALFA","ETF Series Solutions - AlphaClone Alternative Alpha ETF","Financial","Exchange Traded Fund","USA",,,64.59,0.30%,312
224,"ALG","Alamo Group Inc.","Industrials","Farm & Heavy Construction Machinery","USA",1328.45,23.90,110.90,-1.16%,6841
225,"ALGN","Align Technology, Inc.","Healthcare","Medical Devices","USA",23482.47,13.72,296.82,0.59%,184937
226,"ALGT","Allegiant Travel Company","Industrials","Airlines","USA",2040.61,,122.15,-1.65%,23476
227,"ALIM","Alimera Sciences, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",31.60,,6.20,-0.32%,3419
228,"ALJJ","ALJ Regional Holdings, Inc.","Industrials","Specialty Business Services","USA",41.77,,0.86,-1.19%,23463
229,"ALK","Alaska Air Group, Inc.","Industrials","Airlines","USA",4683.62,89.55,36.89,-1.68%,1049519
230,"ALKS","Alkermes plc","Healthcare","Biotechnology","Ireland",2813.10,,16.54,-0.90%,162229
231,"ALL","The Allstate Corporation","Financial","Insurance - Property & Casualty","USA",29943.05,7.12,94.18,-0.86%,470991
232,"ALLE","Allegion plc","Industrials","Security & Protection Services","Ireland",9403.00,33.62,100.86,-1.98%,133884
233,"ALLK","Allakos Inc.","Healthcare","Biotechnology","USA",4264.61,,88.72,1.63%,33551
234,"ALLO","Allogene Therapeutics, Inc.","Healthcare","Biotechnology","USA",4846.54,,35.03,0.98%,148026
235,"ALLT","Allot Ltd.","Technology","Communication Equipment","Israel",373.73,,10.79,0.19%,55175
236,"ALLY","Ally Financial Inc.","Financial","Credit Services","USA",8659.75,13.06,22.75,-0.70%,969708
237,"ALNA","Allena Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",52.14,,1.32,-1.72%,406370
